平成28年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,総数,31053,3465,3053,2862,2539,2272,2035,2097,2203,2065,2439,2789,3234
,男　Ｍ．,15125,1705,1516,1401,1227,1073,968,1030,1046,948,1192,1381,1638
,女　Ｆ．,15928,1760,1537,1461,1312,1199,1067,1067,1157,1117,1247,1408,1596
09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,73570,7502,6708,6875,5868,5766,5268,5248,5425,5164,5834,6598,7314
,男　Ｍ．,28265,2966,2639,2646,2245,2192,2008,2047,2033,1868,2192,2563,2866
,女　Ｆ．,45305,4536,4069,4229,3623,3574,3260,3201,3392,3296,3642,4035,4448
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,5847,643,582,584,455,436,369,423,410,374,453,512,606
,男　Ｍ．,3233,379,332,314,245,235,198,237,220,212,238,300,323
,女　Ｆ．,2614,264,250,270,210,201,171,186,190,162,215,212,283
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,109353,10742,9783,9931,8885,8526,7690,8077,8359,8140,9130,9556,10534
,男　Ｍ．,52718,5268,4690,4824,4274,4100,3693,3842,4027,3880,4352,4611,5157
,女　Ｆ．,56635,5474,5093,5107,4611,4426,3997,4235,4332,4260,4778,4945,5377
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,12322,1218,1116,1145,1011,891,843,962,948,928,997,1078,1185
,男　Ｍ．,4558,454,407,435,357,330,303,366,366,358,349,401,432
,女　Ｆ．,7764,764,709,710,654,561,540,596,582,570,648,677,753
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,31984,3247,2888,2974,2602,2494,2281,2195,2360,2282,2662,2824,3175
,男　Ｍ．,17544,1811,1588,1613,1401,1379,1265,1190,1312,1253,1435,1534,1763
,女　Ｆ．,14440,1436,1300,1361,1201,1115,1016,1005,1048,1029,1227,1290,1412
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,62296,6011,5522,5551,5047,4927,4389,4713,4871,4731,5253,5402,5879
,男　Ｍ．,29388,2866,2583,2653,2416,2289,2055,2203,2276,2174,2481,2565,2827
,女　Ｆ．,32908,3145,2939,2898,2631,2638,2334,2510,2595,2557,2772,2837,3052
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2751,266,257,261,225,214,177,207,180,199,218,252,295
,男　Ｍ．,1228,137,112,123,100,102,70,83,73,95,87,111,135
,女　Ｆ．,1523,129,145,138,125,112,107,124,107,104,131,141,160
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,18154,1850,1676,1744,1436,1336,1218,1181,1242,1295,1583,1684,1909
,男　Ｍ．,9274,974,855,878,731,684,632,645,659,669,800,830,917
,女　Ｆ．,8880,876,821,866,705,652,586,536,583,626,783,854,992
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,7538,728,739,638,629,615,538,568,566,513,618,667,719
,男　Ｍ．,3463,335,339,300,300,293,248,275,259,216,264,304,330
,女　Ｆ．,4075,393,400,338,329,322,290,293,307,297,354,363,389
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,208681,20065,19368,18917,16820,16226,14375,14887,16307,16146,17389,18461,19720
,男　Ｍ．,120283,11639,11200,10853,9763,9264,8393,8657,9297,9193,10032,10595,11397
,女　Ｆ．,88398,8426,8168,8064,7057,6962,5982,6230,7010,6953,7357,7866,8323
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1463,92,487,450,171,39,15,7,3,5,15,52,127
,男　Ｍ．,748,43,267,227,92,16,8,4,1,2,9,20,59
,女　Ｆ．,715,49,220,223,79,23,7,3,2,3,6,32,68
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,119346,11766,11252,10681,9625,9142,8184,8263,9293,9254,9948,10671,11267
,男　Ｍ．,65661,6494,6207,5817,5365,5045,4553,4558,4997,5055,5479,5858,6233
,女　Ｆ．,53685,5272,5045,4864,4260,4097,3631,3705,4296,4199,4469,4813,5034
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,451,56,47,58,25,41,16,24,37,34,36,40,37
,男　Ｍ．,198,25,22,23,11,14,7,11,21,11,20,15,18
,女　Ｆ．,253,31,25,35,14,27,9,13,16,23,16,25,19
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,15692,1475,1409,1451,1279,1195,1134,1200,1262,1240,1279,1297,1471
,男　Ｍ．,12653,1204,1154,1168,1023,946,935,960,1018,998,1033,1033,1181
,女　Ｆ．,3039,271,255,283,256,249,199,240,244,242,246,264,290
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1455,170,126,145,116,116,97,109,128,106,111,103,128
,男　Ｍ．,568,62,57,59,45,46,37,41,51,37,40,39,54
,女　Ｆ．,887,108,69,86,71,70,60,68,77,69,71,64,74
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,70274,6506,6047,6132,5604,5693,4929,5284,5584,5507,6000,6298,6690
,男　Ｍ．,40455,3811,3493,3559,3227,3197,2853,3083,3209,3090,3451,3630,3852
