令和５年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3073,364,286,275,234,204,201,195,260,251,239,266,298
,男　Ｍ．,1492,183,133,124,114,83,93,90,138,139,112,133,150
,女　Ｆ．,1581,181,153,151,120,121,108,105,122,112,127,133,148
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,20033,2204,1844,1825,1626,1473,1300,1244,1282,1397,1845,1860,2133
,男　Ｍ．,9956,1101,899,902,817,745,655,640,613,723,892,921,1048
,女　Ｆ．,10077,1103,945,923,809,728,645,604,669,674,953,939,1085
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,9610,1005,879,852,760,752,671,767,807,676,750,796,895
,男　Ｍ．,4596,513,410,409,349,334,316,381,402,333,349,382,418
,女　Ｆ．,5014,492,469,443,411,418,355,386,405,343,401,414,477
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,195296,19612,16340,16049,14908,14901,13682,14492,16150,16155,16804,17042,19161
,男　Ｍ．,119352,11963,9958,9868,9151,9156,8357,8811,9797,9930,10346,10386,11629
,女　Ｆ．,75944,7649,6382,6181,5757,5745,5325,5681,6353,6225,6458,6656,7532
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1383,104,90,73,28,21,13,19,28,48,97,262,600
,男　Ｍ．,645,47,40,36,10,8,7,8,14,22,36,125,292
,女　Ｆ．,738,57,50,37,18,13,6,11,14,26,61,137,308
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,75753,8041,6461,6116,5754,5668,5115,5470,6323,6248,6480,6544,7533
,男　Ｍ．,43554,4654,3715,3537,3316,3290,2949,3078,3537,3599,3749,3807,4323
,女　Ｆ．,32199,3387,2746,2579,2438,2378,2166,2392,2786,2649,2731,2737,3210
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,230,22,19,17,21,12,19,12,21,26,19,13,29
,男　Ｍ．,101,10,13,5,12,6,7,2,11,11,7,9,8
,女　Ｆ．,129,12,6,12,9,6,12,10,10,15,12,4,21
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,16941,1647,1339,1439,1289,1285,1260,1339,1495,1392,1429,1456,1571
,男　Ｍ．,14287,1364,1121,1224,1093,1091,1072,1142,1237,1176,1217,1231,1319
,女　Ｆ．,2654,283,218,215,196,194,188,197,258,216,212,225,252
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1089,128,88,80,90,90,93,69,76,89,91,97,98
,男　Ｍ．,442,50,42,35,29,37,36,29,23,40,41,33,47
,女　Ｆ．,647,78,46,45,61,53,57,40,53,49,50,64,51
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,99900,9670,8343,8324,7726,7825,7182,7583,8207,8352,8688,8670,9330
,男　Ｍ．,60323,5838,5027,5031,4691,4724,4286,4552,4975,5082,5296,5181,5640
,女　Ｆ．,39577,3832,3316,3293,3035,3101,2896,3031,3232,3270,3392,3489,3690
10601　　　誤嚥性肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,60190,5760,4956,4854,4576,4698,4321,4587,5009,5205,5287,5304,5633
