令和６年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,男　Ｍ．,10143,1077,880,955,833,785,637,632,691,709,876,992,1076
,女　Ｆ．,10284,1081,964,976,777,807,689,662,693,653,897,1033,1052
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,9545,995,854,956,771,770,700,716,710,682,697,735,959
,男　Ｍ．,4479,465,407,448,361,344,320,353,340,320,322,349,450
,女　Ｆ．,5066,530,447,508,410,426,380,363,370,362,375,386,509
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,204985,20683,17793,17958,15829,15589,14717,15493,16761,15934,16169,16691,21368
,男　Ｍ．,125800,12714,11068,11048,9710,9440,9006,9680,10175,9786,9907,10237,13029
,女　Ｆ．,79185,7969,6725,6910,6119,6149,5711,5813,6586,6148,6262,6454,8339
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2857,733,258,112,54,29,9,26,27,26,44,81,1458
,男　Ｍ．,1486,372,128,59,26,12,2,14,11,16,18,42,786
,女　Ｆ．,1371,361,130,53,28,17,7,12,16,10,26,39,672
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,80176,8287,7144,7222,6182,6031,5563,6162,6542,6237,6267,6391,8148
,男　Ｍ．,46529,4843,4234,4119,3621,3449,3222,3607,3738,3578,3602,3720,4796
,女　Ｆ．,33647,3444,2910,3103,2561,2582,2341,2555,2804,2659,2665,2671,3352
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,216,18,12,22,6,21,23,13,30,11,13,28,19
,男　Ｍ．,84,9,4,11,1,8,7,4,10,4,6,15,5
,女　Ｆ．,132,9,8,11,5,13,16,9,20,7,7,13,14
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,16629,1689,1421,1440,1320,1275,1279,1327,1374,1306,1279,1324,1595
,男　Ｍ．,13950,1418,1187,1215,1099,1080,1071,1117,1146,1095,1085,1097,1340
,女　Ｆ．,2679,271,234,225,221,195,208,210,228,211,194,227,255
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1088,98,89,78,80,95,101,92,79,90,85,88,113
,男　Ｍ．,417,37,35,31,24,34,38,34,31,35,37,32,49
,女　Ｆ．,671,61,54,47,56,61,63,58,48,55,48,56,64
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,104019,9858,8869,9084,8187,8138,7742,7873,8709,8264,8481,8779,10035
,男　Ｍ．,63334,6035,5480,5613,4939,4857,4666,4904,5239,5058,5159,5331,6053
,女　Ｆ．,40685,3823,3389,3471,3248,3281,3076,2969,3470,3206,3322,3448,3982
10601　　　誤嚥性肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,63667,5993,5309,5422,4876,4898,4736,4782,5434,5328,5333,5456,6100
,男　Ｍ．,37905,3604,3173,3286,2844,2856,2766,2896,3190,3248,3159,3279,3604
