平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,3450,403,362,347,283,274,227,236,238,236,260,278,306
09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,3804,530,414,347,260,273,229,306,253,238,289,303,362
,男　Ｍ．,1620,250,189,139,111,120,99,138,103,85,103,129,154
,女　Ｆ．,2184,280,225,208,149,153,130,168,150,153,186,174,208
09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,総数,208221,24447,21282,19137,16661,15537,14045,15518,14805,14152,15754,16963,19920
,男　Ｍ．,98035,11897,10252,9035,7818,7241,6360,7217,6848,6534,7396,7963,9474
,女　Ｆ．,110186,12550,11030,10102,8843,8296,7685,8301,7957,7618,8358,9000,10446
09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,2230,238,192,211,192,197,180,155,168,167,173,150,207
,男　Ｍ．,746,74,70,80,61,59,59,51,54,54,53,55,76
,女　Ｆ．,1484,164,122,131,131,138,121,104,114,113,120,95,131
09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,33507,4224,3630,3057,2593,2370,2258,2373,2304,2140,2522,2755,3281
,男　Ｍ．,19207,2428,2077,1765,1454,1408,1278,1329,1365,1217,1478,1518,1890
,女　Ｆ．,14300,1796,1553,1292,1139,962,980,1044,939,923,1044,1237,1391
09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,36575,4853,4100,3354,2838,2514,2207,2882,2496,2260,2640,2863,3568
,男　Ｍ．,21655,2885,2401,1974,1706,1485,1312,1705,1459,1354,1556,1679,2139
,女　Ｆ．,14920,1968,1699,1380,1132,1029,895,1177,1037,906,1084,1184,1429
